Gene,ADS,DAGS,CDAS,CAIS
mpg,0.0537,0.0437,0.027,0.0521
cobL,0.0509,0.0098,0.1104,0.0545
rpmI,0.0537,0.0437,0.027,0.0521
cysE,0.0829,0.0224,0.1178,0.085
egtC,0.0497,0.0224,0.0552,0.05
galU,0.1254,0.0917,0.027,0.1194
purN,0.1834,0.1499,0.0417,0.1748
ilvC,0.0353,0.0121,0.0687,0.0373
hns,0.0537,0.0197,0.0626,0.0542
cspB,0.0299,0.0357,0.0135,0.0289
ung,0.1134,0.0797,0.0626,0.1103
fcoT,0.0418,0.0197,0.0626,0.043
fadE36,0.1407,0.0814,0.0896,0.1376
polA,0.0746,0.0086,0.1865,0.0813
bisC,0.0433,0.0035,0.2074,0.0532
cysT,0.0299,0.0357,0.0135,0.0289
aglA,0.0566,0.0102,0.1939,0.0649
fmu,0.0929,0.0357,0.1178,0.0944
efp,0.0597,0.0557,0.0209,0.0573
fadE12,0.1387,0.0451,0.1104,0.1369
lprF,0.0516,0.0284,0.0687,0.0526
recA,0.0577,0.0117,0.0969,0.06
whiB5,0.0678,0.0284,0.0687,0.0678
adhD,0.0522,0.0182,0.1043,0.0553
fabG3,0.0469,0.03,0.0417,0.0466
mmpS4,0.0299,0.0128,0.0417,0.0306
vapC14,0.1493,0.0857,0.0209,0.1415
infC,0.0725,0.0471,0.0417,0.0706
proW,0.0299,0.0157,0.0344,0.0302
blaC,0.0712,0.0234,0.0834,0.0719
pimE,0.0975,0.0517,0.0969,0.0974
pstS2,0.055,0.0115,0.1252,0.0592
dfp,0.0412,0.0071,0.1387,0.0471
mycP5,0.0544,0.0169,0.1104,0.0578
htdX,0.0853,0.03,0.0896,0.0855
hemK,0.0461,0.0175,0.0687,0.0474
cydA,0.065,0.0169,0.1104,0.0677
kdpE,0.0512,0.0128,0.0896,0.0535
mec,0.0995,0.0457,0.0344,0.0955
tatC,0.0733,0.0284,0.0687,0.073
otsB1,0.0929,0.0182,0.492,0.1171
oppC,0.0299,0.0107,0.0479,0.031
fadD13,0.1433,0.0976,0.2012,0.1468
prcA,0.0469,0.03,0.0417,0.0466
hisI,0.0299,0.0357,0.0147,0.029
narH,0.041,0.0107,0.1043,0.0448
mihF,0.0299,0.0157,0.0344,0.0302
espL,0.0299,0.0157,0.0344,0.0302
ilvG,0.0428,0.0061,0.1521,0.0494
ndkA,0.0697,0.0757,0.0135,0.0663
lppR,0.1493,0.0657,0.0761,0.1448
fba,0.0597,0.0257,0.0761,0.0607
mycP1,0.0677,0.0037,0.2012,0.0757
nadB,0.124,0.0372,0.173,0.1269
murG,0.1294,0.0857,0.0761,0.1261
fadD35,0.0409,0.009,0.1804,0.0493
kdpD,0.1023,0.034,0.319,0.1154
hsaG,0.0398,0.0257,0.0344,0.0395
lppT,0.1493,0.2355,0.0,0.1403
gid,0.1678,0.0464,0.4871,0.1871
ruvB,0.0299,0.0066,0.0687,0.0322
vapC48,0.1493,0.0757,0.0344,0.1423
pks17,0.0948,0.0486,0.2282,0.1029
ripA,0.1125,0.0418,0.0834,0.1107
vapC9,0.0299,0.0197,0.027,0.0297
desA1,0.0299,0.0157,0.0344,0.0302
htpX,0.0733,0.023,0.0687,0.073
fic,0.0431,0.0224,0.0552,0.0438
uspC,0.0697,0.0257,0.0761,0.0701
argD,0.0615,0.0169,0.1104,0.0644
kdpB,0.0566,0.0081,0.1939,0.0649
acpA,0.0469,0.03,0.0417,0.0466
pstS3,0.2239,0.1506,0.0761,0.2149
argA,0.0497,0.0357,0.0344,0.0488
gdh,0.0674,0.0093,0.4233,0.0889
gpsI,0.0439,0.0098,0.1104,0.0479
serS,0.0516,0.0175,0.0687,0.0526
mfd,0.052,0.009,0.3681,0.0711
moxR3,0.0448,0.0257,0.0479,0.045
vapC25,0.0597,0.0377,0.0626,0.0599
pknG,0.0924,0.02,0.2847,0.104
lpdC,0.0299,0.0066,0.0687,0.0322
vapC46,0.0213,0.0128,0.0417,0.0225
ceoB,0.0497,0.0224,0.0552,0.05
nei,0.0896,0.0414,0.1387,0.0925
vapC23,0.0,0.0557,0.0074,0.0005
vapB12,0.0299,0.0557,0.0074,0.0286
rpsT,0.0299,0.0197,0.027,0.0297
whiB4,0.0299,0.0157,0.0344,0.0302
dsbF,0.0716,0.0437,0.0626,0.071
thiL,0.0763,0.0357,0.0552,0.075
aceAb,0.2201,0.1868,0.1043,0.213
fmt,0.0448,0.0257,0.0479,0.045
pheT,0.0697,0.0126,0.2638,0.0814
relE,0.0896,0.0757,0.0135,0.085
echA15,0.0448,0.0157,0.0761,0.0467
idsA2,0.0299,0.0197,0.027,0.0297
PE4,0.0987,0.0441,0.173,0.1032
mbtM,0.1407,0.0857,0.0896,0.1376
ureC,0.0896,0.027,0.1521,0.0933
vapC37,0.0537,0.0437,0.027,0.0521
echA4,0.0564,0.0357,0.0552,0.0563
oplA,0.0725,0.0071,0.2847,0.0853
echA11,0.0448,0.0107,0.1043,0.0484
rpoC,0.061,0.0048,0.3117,0.0762
vapB11,0.0299,0.0257,0.0209,0.0294
fadD18,0.064,0.0214,0.0896,0.0655
cyp51,0.0554,0.0128,0.0896,0.0574
guaB3,0.0672,0.0407,0.0479,0.066
lppI,0.0574,0.0234,0.0834,0.059
pstP,0.0518,0.0115,0.1252,0.0562
ctpF,0.1037,0.0225,0.2564,0.1129
pcnA,0.0725,0.0257,0.1865,0.0794
vapC47,0.0564,0.0224,0.0552,0.0563
narK1,0.0741,0.0112,0.2074,0.0821
mce1A,0.0597,0.0057,0.1595,0.0657
glpD1,0.0487,0.0147,0.1252,0.0533
hrp1,0.0299,0.0197,0.027,0.0297
fecB,0.0796,0.0257,0.0761,0.0793
plcC,0.0913,0.0363,0.2282,0.0996
narJ,0.1095,0.0557,0.0552,0.1062
fadB,0.0664,0.0093,0.2074,0.0749
aroE,0.1004,0.0284,0.0687,0.0984
purH,0.434,0.4016,0.0834,0.4127
menB,0.1045,0.0407,0.0479,0.101
glyA2,0.052,0.009,0.1804,0.0598
lprL,0.0249,0.0057,0.0761,0.028
folK,0.0697,0.0257,0.0761,0.0701
fusA1,0.1217,0.088,0.0834,0.1194
thiO,0.0945,0.0557,0.0761,0.0934
smpB,0.0469,0.03,0.0417,0.0466
mbtJ,0.2985,0.1506,0.0761,0.2849
parB,0.0431,0.009,0.1178,0.0476
lpdA,0.0697,0.0277,0.0969,0.0713
deaD,0.049,0.0101,0.1656,0.056
cut4,0.0461,0.0175,0.0687,0.0474
fbiC,0.0526,0.0071,0.1387,0.0578
ureD,0.0733,0.0175,0.0687,0.073
vapC33,0.0597,0.0557,0.0209,0.0573
espJ,0.0651,0.023,0.146,0.07
usfY,0.0299,0.0157,0.0344,0.0302
canA,0.1731,0.1636,0.027,0.1642
ugpA,0.0624,0.0284,0.0687,0.0628
sigF,0.0574,0.0234,0.0834,0.059
uvrC,0.1237,0.0857,0.0896,0.1216
espG1,0.0709,0.0182,0.1043,0.0729
tgs4,0.0647,0.0157,0.1595,0.0704
dapC,0.0412,0.0128,0.1387,0.0471
relA,0.2209,0.1156,0.0969,0.2133
vapC13,0.0299,0.1156,0.0,0.0282
rsfA,0.0418,0.0317,0.027,0.0409
moeB1,0.0896,0.0597,0.0969,0.09
eccD5,0.0924,0.0271,0.1387,0.0952
metA,0.1171,0.0741,0.0834,0.115
trcS,0.1103,0.04,0.1521,0.1128
lipW,0.0572,0.0107,0.1595,0.0634
valS,0.0506,0.0088,0.1534,0.0568
accD3,0.0846,0.0357,0.0761,0.084
glnA1,0.0482,0.0234,0.0834,0.0503
carA,0.0987,0.028,0.0834,0.0977
lldD2,0.0448,0.0407,0.0209,0.0433
mmpL12,0.0784,0.0138,0.2908,0.0912
vapC21,0.1237,0.0985,0.0417,0.1187
ribF,0.3284,0.2846,0.0687,0.3126
mbtE,0.1178,0.0352,0.2564,0.1261
rimM,0.0746,0.0332,0.0479,0.0729
recO,0.0299,0.0128,0.0417,0.0306
lppF,0.0929,0.0424,0.1178,0.0944
ureG,0.0398,0.0157,0.0761,0.042
htdZ,0.0497,0.029,0.0552,0.05
vapB37,0.0299,0.0557,0.0061,0.0285
dnaZX,0.0448,0.0182,0.1043,0.0484
malQ,0.0728,0.0126,0.2147,0.0814
moaD2,0.0554,0.03,0.0417,0.0545
echA12,0.0398,0.0207,0.0761,0.042
sahH,0.0597,0.0157,0.0761,0.0607
lipF,0.199,0.0557,0.1178,0.194
nirB,0.0923,0.0284,0.2982,0.1047
cyp132,0.0841,0.0175,0.146,0.0878
vapC20,0.0299,0.0557,0.0074,0.0286
zwf2,0.1076,0.0284,0.2221,0.1145
ctpI,0.0733,0.0051,0.4785,0.0978
ceoC,0.1015,0.0797,0.0626,0.0991
cyp139,0.0373,0.0107,0.1043,0.0413
ilvD,0.0299,0.002,0.1252,0.0357
rpsM,0.0299,0.0357,0.0135,0.0289
accE5,0.3284,0.2355,0.0344,0.3105
mpt70,0.0896,0.0757,0.0344,0.0862
glgE,0.0584,0.0114,0.1534,0.0641
phoT,0.0448,0.0257,0.0479,0.045
hemN,0.0464,0.0157,0.1178,0.0507
gcvB,0.0846,0.0457,0.0761,0.0841
betP,0.0448,0.0107,0.1043,0.0484
vapC30,0.0497,0.0357,0.0344,0.0488
fadD32,0.0299,0.0049,0.0834,0.0331
lpqE,0.0763,0.0357,0.0552,0.075
eccB4,0.0597,0.009,0.1178,0.0632
eccD3,0.0384,0.01,0.1387,0.0445
aftD,0.0882,0.0121,0.2982,0.1009
mce2D,0.0653,0.0107,0.2147,0.0743
pncB2,0.0597,0.0124,0.1178,0.0632
aldC,0.056,0.0182,0.1043,0.0589
atpD,0.0448,0.0257,0.0479,0.045
hisB,0.0299,0.009,0.0552,0.0314
fadA4,0.064,0.0128,0.1387,0.0685
infB,0.0459,0.0049,0.1742,0.0537
cysG,0.0716,0.0257,0.0626,0.071
lsr2,0.2687,0.3555,0.0,0.2525
vapC12,0.1254,0.1156,0.027,0.1194
drrA,0.0299,0.0077,0.0626,0.0319
gca,0.0766,0.0218,0.1534,0.0812
lytB2,0.0537,0.0437,0.027,0.0521
priA,0.097,0.0332,0.1043,0.0974
mce3F,0.0393,0.0115,0.1252,0.0445
rplC,0.0657,0.0197,0.0626,0.0655
ctpV,0.0821,0.0122,0.2699,0.0934
cysK2,0.0725,0.03,0.0896,0.0735
agpS,0.0439,0.0169,0.1104,0.0479
ctaD,0.2328,0.1756,0.0626,0.2224
vapB21,0.0448,0.0257,0.0479,0.045
vapC43,0.0213,0.0128,0.0417,0.0225
lysS,0.0431,0.0224,0.0552,0.0438
thrA,0.0299,0.0128,0.0417,0.0306
bfrA,0.0469,0.03,0.0417,0.0466
rslA,0.057,0.023,0.0687,0.0577
mce3D,0.0584,0.0114,0.1521,0.064
xerC,0.1438,0.072,0.0687,0.1392
gmdA,0.0531,0.009,0.1178,0.057
leuA,0.0564,0.0224,0.1178,0.0601
rpfE,0.0426,0.0128,0.0896,0.0454
tcrA,0.0516,0.0284,0.0687,0.0526
hpt,0.0418,0.0197,0.0626,0.043
gmhA,0.0544,0.0169,0.1104,0.0578
citE,0.0597,0.0214,0.0896,0.0615
devS,0.0647,0.0157,0.0761,0.0654
fadE25,0.2361,0.1592,0.0687,0.2259
gpdA1,0.1045,0.0482,0.1043,0.1044
obg,0.0801,0.0462,0.1252,0.0828
fadE24,0.1924,0.0723,0.1178,0.1878
vapC40,0.0597,0.0257,0.0479,0.059
moxR2,0.081,0.0642,0.0417,0.0786
nadD,0.0597,0.0557,0.0209,0.0573
birA,0.0716,0.0197,0.0626,0.071
rplO,0.0299,0.0557,0.0061,0.0285
rmlC,0.0469,0.03,0.0417,0.0466
fbiB,0.0709,0.0182,0.1043,0.0729
vapC5,0.0299,0.0257,0.0209,0.0294
mobA,0.0299,0.0257,0.0209,0.0294
cysA1,0.0657,0.0317,0.0626,0.0655
bpoC,0.0672,0.0407,0.0479,0.066
mce1B,0.1282,0.0592,0.1104,0.1271
pyrC,0.0469,0.03,0.0417,0.0466
lprN,0.0448,0.0107,0.1043,0.0484
devB,0.203,0.1036,0.0626,0.1944
zwf1,0.0651,0.0175,0.146,0.07
cysO,0.0299,0.0157,0.0344,0.0302
grpE,0.1294,0.0557,0.0344,0.1236
pks11,0.0657,0.0197,0.1313,0.0696
pbpB,0.0336,0.007,0.1043,0.0379
glpD2,0.0962,0.049,0.0552,0.0937
impA,0.0512,0.0171,0.0896,0.0535
kdpC,0.0554,0.0471,0.0417,0.0546
pepE,0.0487,0.0115,0.1252,0.0533
lppD,0.033,0.0083,0.1252,0.0386
murX,0.0358,0.0137,0.0626,0.0374
gatB,0.0407,0.0175,0.0687,0.0424
moaC1,0.2448,0.1456,0.0626,0.2337
pks2,0.0845,0.0134,0.6528,0.1189
rimJ,0.1045,0.0782,0.0479,0.101
parD1,0.0299,0.0557,0.0074,0.0286
cmaA2,0.0448,0.0257,0.0479,0.045
lprG,0.0697,0.0557,0.0344,0.0675
fabH,0.1244,0.0607,0.0761,0.1214
nadR,0.0398,0.0057,0.1595,0.047
treX,0.1114,0.0557,0.2012,0.1168
moaC3,0.0896,0.0557,0.0209,0.0854
amiA1,0.1095,0.0357,0.0552,0.1061
fadA3,0.0776,0.0317,0.0626,0.0767
pyrB,0.0522,0.0332,0.0479,0.0519
cfp29,0.0384,0.03,0.0417,0.0386
argS,0.1021,0.0399,0.1252,0.1035
nuoJ,0.0896,0.0857,0.0209,0.0854
mbtN,0.0353,0.0175,0.0687,0.0373
thiG,0.0537,0.0437,0.027,0.0521
argB,0.1095,0.049,0.0552,0.1062
dhaA,0.145,0.0771,0.0896,0.1416
lpqB,0.0448,0.0257,0.0479,0.045
fadD25,0.0566,0.0081,0.1939,0.0649
cut1,0.0746,0.0257,0.0479,0.0729
acrA1,0.0781,0.0059,0.319,0.0927
pyrH,0.0537,0.0197,0.0969,0.0563
yrbE3B,0.0378,0.0117,0.0969,0.0414
vapB8,0.0299,0.0257,0.0209,0.0294
rpsL,1.0,1.0,0.0209,0.9406
mmaA2,0.0597,0.0357,0.0344,0.0581
erg3,0.1317,0.0768,0.1104,0.1304
mce1R,0.0846,0.0607,0.0761,0.0841
lspA,0.0821,0.0407,0.0479,0.08
lysX,0.0739,0.0057,0.2847,0.0866
lipC,0.1015,0.0677,0.0969,0.1012
xseA,0.0736,0.0317,0.0969,0.075
rpsH,0.0299,0.1156,0.0,0.0282
glf,0.0448,0.0257,0.0479,0.045
amt,0.0418,0.0101,0.1669,0.0494
bioA,0.0896,0.0557,0.0344,0.0862
gpdA2,0.1493,0.072,0.0687,0.1443
echA16,0.0497,0.0197,0.0969,0.0525
fadD23,0.1338,0.0623,0.1804,0.1366
vapB29,0.0497,0.0357,0.0344,0.0488
PE14,0.1095,0.1156,0.0135,0.1037
pepC,0.0753,0.0128,0.1387,0.0791
mazF6,0.0299,0.0197,0.027,0.0297
pbpA,0.0697,0.0224,0.1804,0.0764
pgsA1,0.1612,0.1516,0.027,0.1531
mca,0.064,0.0471,0.0417,0.0626
rpsD,0.0597,0.0257,0.0479,0.059
ldtB,0.0299,0.0032,0.1043,0.0344
pepQ,0.0574,0.0142,0.0834,0.0589
scpA,0.0579,0.0134,0.1104,0.0611
wbbL1,0.0418,0.0317,0.027,0.0409
hemY,0.0597,0.0107,0.1043,0.0624
nusB,0.0697,0.0757,0.0135,0.0663
ino1,0.0299,0.0128,0.0417,0.0306
mce3B,0.1071,0.0239,0.1104,0.1072
pckA,0.0564,0.009,0.1804,0.0639
alkB,0.1151,0.0557,0.0896,0.1135
sigA,0.0418,0.0197,0.0626,0.043
nrdR,0.0697,0.0757,0.0135,0.0663
fadD7,0.1082,0.0407,0.1043,0.1079
ilvE,0.0615,0.0098,0.1104,0.0644
pntAb,0.0299,0.0128,0.0417,0.0306
dfrA,0.0299,0.0557,0.0061,0.0285
mgtE,0.0707,0.0147,0.1252,0.074
fadD14,0.1134,0.0707,0.1313,0.1145
trmU,0.1365,0.0557,0.0896,0.1336
dppC,0.0299,0.0077,0.0626,0.0319
manA,0.0299,0.0182,0.0479,0.031
esxT,0.0299,0.0197,0.027,0.0297
tal,0.0763,0.0357,0.0552,0.075
dapE,0.0448,0.0557,0.0209,0.0434
gatA,0.0975,0.0277,0.0969,0.0974
echA10,0.0712,0.0465,0.0834,0.0719
fadE23,0.2388,0.0942,0.0896,0.2296
hsaC,0.0448,0.0257,0.0479,0.045
aftB,0.0546,0.0081,0.1939,0.063
rpfB,0.194,0.1106,0.0761,0.1868
echA9,0.0448,0.0182,0.1043,0.0484
pdxH,0.0299,0.0128,0.0417,0.0306
fadE4,0.0537,0.0077,0.2012,0.0626
glnE,0.079,0.0134,0.2282,0.088
glgC,0.0373,0.0107,0.1043,0.0413
cysD,0.0299,0.0049,0.0834,0.0331
qor,0.0841,0.0284,0.0687,0.0831
tgs2,0.1141,0.031,0.1104,0.1138
proZ,0.0469,0.0128,0.0896,0.0495
panD,0.0299,0.0557,0.0061,0.0285
vapB18,0.0896,0.0557,0.027,0.0858
mbtC,0.0299,0.0128,0.0417,0.0306
folP2,0.0469,0.03,0.0417,0.0466
asnB,0.0436,0.0049,0.173,0.0514
mmpS5,0.0299,0.0197,0.027,0.0297
ndh,0.0431,0.0224,0.0552,0.0438
papA2,0.1109,0.0343,0.1865,0.1154
accD2,0.0487,0.0147,0.1252,0.0533
pntB,0.0436,0.0142,0.0834,0.046
plcB,0.0962,0.0268,0.1804,0.1013
iniB,0.0733,0.0339,0.146,0.0777
murF,0.0551,0.0096,0.173,0.0622
amiA2,0.0746,0.0357,0.0761,0.0747
hsdM,0.0704,0.0221,0.1656,0.0761
mmpL7,0.0547,0.0057,0.2429,0.0661
eccD1,0.086,0.0098,0.2282,0.0946
whiB6,0.1684,0.06,0.1865,0.1694
mmaA1,0.0384,0.0214,0.0417,0.0386
atsB,0.1675,0.0606,0.3325,0.1774
aroD,0.0299,0.0257,0.0209,0.0294
fadE15,0.0574,0.0049,0.173,0.0644
fgd2,0.099,0.0462,0.1252,0.1005
metH,0.0676,0.0147,0.389,0.0871
fucA,0.0564,0.0224,0.0552,0.0563
ppk2,0.0522,0.0407,0.0479,0.0519
ftsZ,0.1066,0.0471,0.0417,0.1026
cysA2,0.0299,0.1156,0.0,0.0282
tmk,0.2015,0.1681,0.0479,0.1922
manB,0.0299,0.0066,0.0687,0.0322
purB,0.0299,0.0357,0.0135,0.0289
hemB,0.1263,0.0741,0.0834,0.1237
kshA,0.039,0.0142,0.0834,0.0417
ubiA,0.0995,0.0657,0.0761,0.0981
hsaA,0.0299,0.0157,0.0344,0.0302
pknJ,0.0712,0.0096,0.173,0.0773
mycP3,0.0925,0.0467,0.1313,0.0948
ureF,0.0564,0.0224,0.0552,0.0563
garA,0.0448,0.0407,0.0209,0.0433
treS,0.0622,0.0282,0.1595,0.0681
rphA,0.0299,0.0257,0.0209,0.0294
mmpL5,0.1095,0.028,0.2638,0.1188
mmpL9,0.0771,0.0132,0.3264,0.0922
hemA,0.0378,0.0117,0.0969,0.0414
PE17,0.1147,0.0525,0.1252,0.1153
entC,0.0537,0.0197,0.0626,0.0542
aroK,0.0657,0.0317,0.0626,0.0655
echA18,0.0647,0.0257,0.0761,0.0654
glnH,0.0597,0.0317,0.0626,0.0599
hsdS,0.039,0.0234,0.0834,0.0417
echA3,0.203,0.1456,0.0626,0.1944
ephD,0.1995,0.1567,0.1252,0.195
mesT,0.0697,0.0357,0.0761,0.0701
dedA,0.1125,0.0741,0.0834,0.1107
tlyA,0.0746,0.0407,0.0479,0.073
rplU,0.0299,0.0197,0.027,0.0297
hab,0.1045,0.0657,0.0761,0.1027
lppH,0.0712,0.0234,0.0834,0.0719
rraA,0.0299,0.0157,0.0344,0.0302
tsf,0.0497,0.0157,0.0761,0.0513
gcvH,0.1493,0.1156,0.0061,0.1406
yjcE,0.0763,0.0224,0.1178,0.0788
phyA,0.2175,0.167,0.0454,0.207
tcrY,0.0697,0.0197,0.0969,0.0713
cyp141,0.0423,0.0082,0.1595,0.0494
dnaG,0.064,0.0128,0.0896,0.0655
rpsR1,0.0299,0.0557,0.0061,0.0285
cyp140,0.0448,0.0077,0.1325,0.0501
